id,name,message,story,link,description,created_time,likes,shares,comments
112784955679_10155399452210680,"Höchster Berg der Welt: Umstritten: Everest-Besteigung für Eilige.","Gipfel-Aspiranten verbringen für die Besteigung des Mount Everest normalerweise zwei Monate auf dem Berg. Mittlerweile ist auch ein Schnellaufstieg in 35 Tagen möglich. Kosten: Mindestens 75.000 Euro.",,http://www.heute.de/hoechster-berg-der-welt-mount-everest-besteigung-fuer-eilige-47240288.html,,Wed May 24 17:01:00 CEST 2017,0,0,0
112784955679_10155399816530680,"Muslime im Westen wollen Teilhabe","Usama Hasan ist Kenner der islamistischen Szene in Großbritannien. Er war selbst Dschihadist. Wie er dazu wurde, warum er ausstieg und was eine Gesellschaft gegen Islamismus tun kann:",,https://www.facebook.com/ZDFheute/videos/10155399816530680/,,Wed May 24 16:02:00 CEST 2017,25,9,52
112784955679_10155399751005680,"Timeline Photos","Nach der Absage einer Türkei-Reise von Bundestagsabgeordneten sieht Claudia Roth eine „neue Eskalationsstufe“ in der Krise der deutsch-türkischen Beziehungen erreicht.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155399751005680/?type=3,,Wed May 24 14:55:50 CEST 2017,38,7,134
112784955679_10155399595260680,"Timeline Photos","Der Papst scheint den Präsidenten beeindruckt zu haben: ''Ich werde nicht vergessen, was Sie gesagt haben'', sagte Trump.  Mehr: http://ly.zdf.de/LoE/",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155399595260680/?type=3,,Wed May 24 13:44:24 CEST 2017,123,41,133
112784955679_10155399559590680,"Sicherheit bei Konzerten: Hundertprozentiger Schutz unmöglich","Konzertveranstalter stoßen trotz verstärkter Sicherheits-Anstrengungen an Grenzen. Allgemeine Erkenntnis: Absolute Sicherheit gibt es nicht.",,http://www.heute.de/nach-anschlag-auf-konzert-in-manchester-diskussion-ueber-sicherheit-bei-events-47238238.html,,Wed May 24 13:25:57 CEST 2017,23,5,54
112784955679_10155399394635680,"Diana Zimmermann aus Manchester","Die britische Polizei hat drei weitere Männer im Zusammenhang mit dem Anschlag von Manchester festgenommen. ZDF-Korrespondentin Diana Zimmermann zu den neusten Entwicklungen:",,https://www.facebook.com/ZDFheute/videos/10155399394635680/,,Wed May 24 12:40:16 CEST 2017,36,17,22
112784955679_10155399343115680,"Timeline Photos","Können Sie ein Unfallopfer in die stabile Seitenlage legen, eine Blutung stoppen oder einen Verletzten wiederbeleben?",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155399343115680/?type=3,,Wed May 24 11:52:00 CEST 2017,71,64,130
112784955679_10155399244815680,"Manchester hält zusammen","Manchester hält zusammen! Der verheerende Anschlag mit min. 22 Toten hat eine Welle der Hilfsbereitschaft ausgelöst. In völlig unterschiedlicher Art und Weise – vom Obdachlosen, der zum Erst-Helfer wurde, bis hin zu kostenlosen Taxi-Fahrten:",,https://www.facebook.com/ZDFheute/videos/10155399244815680/,,Wed May 24 10:54:53 CEST 2017,547,142,62
112784955679_10155399067605680,"''Wenn Populisten regieren ...''","US-Präsident Trump befindet sich derzeit auf seiner ersten Auslandsreise – die USA aber sind weiterhin gespalten. Für die ''auslandsjournal''-Doku ''Wenn Populisten regieren ...'' geht Dunja Hayali der Frage nach: Was eint die neue Internationale der Populisten? Heute um 22.15 Uhr im ZDF.",,https://www.facebook.com/ZDFheute/videos/10155399067605680/,,Wed May 24 09:09:26 CEST 2017,41,5,54
112784955679_10155399030450680,"Karlsruhe verhandelt AfD-Klage: ''Rote Karte'' für Wanka?","Bundesbildungsministerin Wanka muss sich vor dem Bundesverfassungsgericht für eine kritische Pressemitteilung über die AfD rechtfertigen. Hat sie gegen ihre partei-politische Neutralitätspflicht verstoßen?",,http://www.heute.de/verfassungsrichter-in-karlsruhe-verhandeln-afd-klage-gegen-bildungsministerin-wanka-47237944.html,,Wed May 24 08:37:39 CEST 2017,65,5,59
