id,name,message,story,link,description,created_time,likes,shares,comments
193081554406_10155430859319407,"Geflohen vor Folter und Mord - Schwule Tschetschenen in Russland","Homosexuelle leben in Tschetschenien in Gefahr. Der Sicherheitsdienst verfolgt - und foltert sie teils zu Tode. Golineh Atai hat mit Tschetschenen gesprochen, die sich in Russland verstecken.",,https://www.facebook.com/tagesschau/videos/10155430859319407/,,Wed May 24 16:52:07 CEST 2017,2,1,1
193081554406_10155430867949407,"Wahl-Überprüfung führt zu leichten Veränderungen","Bei der NRW-Wahl hat es Unregelmäßigkeiten gegeben: Die AfD bekam 2204 Stimmen zu wenig zugesprochen. Auswirkung auf die Zusammensetzung des Landtags hat das aber nicht. Auch bei fast allen anderen Parteien gab es fehlerhafte Ergebnisse.",,http://www1.wdr.de/nachrichten/landespolitik/landtagswahl/wahlergebnis-ueberpruefung-100.html,,Wed May 24 15:10:00 CEST 2017,92,23,116
193081554406_10155430608989407,,"Bis zu 300.000 Babys sollen in Spanien von den 1930er bis in die 1990er Jahre gestohlen und verkauft worden sein. Eines von ihnen ist das Kind von Margarita Perez Garcia.",,https://www.facebook.com/tagesschau/videos/10155430608989407/,,Wed May 24 14:37:59 CEST 2017,42,24,28
193081554406_10155430707434407,"Timeline Photos","Hillary Clinton nannte die Gedenkstätte Yad Vashem in Israel ''eine Erinnerung, dass der Holocaust nie vergessen werden darf''. Donald Trump schrieb von ''einer Ehre hier zu sein, mit all meinen Freunden - amazing''.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155430707434407/?type=3,,Wed May 24 13:51:21 CEST 2017,1077,278,453
193081554406_10155430618509407,,"Der Wahlkampf in Großbritannien ist nach dem Anschlag in Manchester vorerst ausgesetzt. Für Theresa May komme das zur rechten Zeit, sagt Annette Dittert. Denn der Konkurrent der Premierministerin hatte zuvor erstmals deutlich aufgeholt.",,https://www.facebook.com/tagesschau/videos/10155430618509407/,,Wed May 24 13:08:43 CEST 2017,36,7,49
193081554406_10155430521284407,"Timeline Photos","Nach dem Anschlag von Manchester: Britische Polizei nimmt drei Verdächtige in einem südlichen Stadtteil fest. Dort war bereits gestern ein Mann festgenommen worden.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155430521284407/?type=3,,Wed May 24 12:32:51 CEST 2017,34,8,34
193081554406_10155430282344407,"Timeline Photos","Noch immer sitzt der deutsch-türkische Korrespondent in Einzelhaft. Er sehe den Umständen entsprechend gut aus, sagen seine Besucher. Yücel soll besonders froh sein, jetzt einmal pro Woche auf den Sportplatz zu dürfen und in den Himmel blicken zu können.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155430282344407/?type=3,,Wed May 24 10:32:02 CEST 2017,144,61,111
193081554406_10155430146399407,"Timeline Photos","Nach dem Anschlag mit 22 Todesopfern gestern setzen die Menschen in Manchester ein Zeichen gegen den Terror.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155430146399407/?type=3,,Wed May 24 10:05:00 CEST 2017,407,30,91
193081554406_10155430014854407,,"In Chemnitz ist ein alter Atombunker aus DDR-Zeiten versteigert worden, der im Kriegsfall wohl die lokale Stasi- und Parteiführung schützen sollte. Nun will ein Ehepaar aus der Türkei darüber eine Fleischlagerhalle bauen.",,https://www.facebook.com/tagesschau/videos/10155430014854407/,,Wed May 24 09:30:00 CEST 2017,81,19,34
193081554406_10155424530679407,"Kommentar Kai Gniffke","Mit der Eskalation der Ukrainekrise begann für uns eine neue Zeitrechnung in Sachen Zuschauer-Feedback. „Ich lasse mich in Hassmails ungerne ‚Heuchler‘ und ‚Hurensohn‘ nennen. Aber seien Sie gewiss: Wir werden auch weiterhin kritisch berichten und etwa die Annexion der Krim eine Annexion nennen“, kommentiert Tagesschau-Chefredakteur Kai Gniffke.",,https://www.facebook.com/tagesschau/videos/10155424530679407/,,Wed May 24 09:00:00 CEST 2017,2035,338,351
